









Frequency of observations in the selected location(s).:
Number of taxa: 	344

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Red-necked Phalarope (<em class="sci">Phalaropus lobatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0267559	0.0229885	0.0884956	0.0603448	0.0246914	0.0086207	0.0	0.0	0.0	0.0	0.0	0.0205761	0.0565371	0.1853035	0.1871658	0.2113402	0.2176871	0.3061889	0.2356021	0.1496063	0.1333333	0.0925926	0.0964912	0.0	0.0068966	0.0	0.0	0.0	0.0	0.0047393	0.0	0.0	0.0	0.0	
phalarope sp. (<em class="sci">Phalaropus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0015	0.0053476	0.0103093	0.0068027	0.009772	0.0052356	0.0	0.0	0.0	0.0	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Spotted Sandpiper (<em class="sci">Actitis macularius</em>)	0.010582	0.0068966	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.007874	0.0015	0.0	0.0	0.006689	0.0191571	0.0176991	0.0431034	0.0123457	0.0258621	0.0015	0.0	0.0084746	0.0265487	0.0064516	0.0411523	0.0176678	0.0223642	0.0427807	0.0206186	0.047619	0.0423453	0.0104712	0.0	0.0074074	0.0	0.0	0.010989	0.0137931	0.0160428	0.0	0.0	0.00625	0.0189573	0.0077519	0.0	0.0	0.0052632	
Solitary Sandpiper (<em class="sci">Tringa solitaria</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059172	0.0074627	0.0422535	0.0367893	0.0613027	0.0442478	0.0172414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063898	0.0106952	0.0154639	0.0	0.0065147	0.0157068	0.007874	0.0074074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Marsh Sandpiper (<em class="sci">Tringa stagnatilis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074627	0.0	0.4214047	0.0957854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Yellowlegs (<em class="sci">Tringa flavipes</em>)	0.0846561	0.062069	0.1014493	0.0801688	0.078125	0.0878378	0.1111111	0.2020202	0.1461538	0.1517857	0.2047244	0.2721893	0.2835821	0.3450704	0.4280936	0.1762452	0.0442478	0.0	0.0	0.0	0.0	0.0	0.0	0.0353982	0.0903226	0.0781893	0.1696113	0.3067093	0.2887701	0.1082474	0.170068	0.2345277	0.1413613	0.1102362	0.1925926	0.2345679	0.2631579	0.2087912	0.2896552	0.2566845	0.2714286	0.196319	0.0625	0.1516588	0.1007752	0.0724638	0.0583942	0.1157895	
Willet (<em class="sci">Tringa semipalmata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0401338	0.0191571	0.0176991	0.0172414	0.0	0.0015	0.0	0.0	0.0254237	0.0442478	0.0193548	0.0288066	0.04947	0.0734824	0.0855615	0.0670103	0.0612245	0.0065147	0.0052356	0.007874	0.0074074	0.0061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072464	0.0	0.0	
Greater Yellowlegs (<em class="sci">Tringa melanoleuca</em>)	0.6507937	0.6	0.6304348	0.6160338	0.609375	0.6554054	0.7195767	0.8484848	0.7461538	0.8482143	0.8582677	0.8757396	0.8358209	0.8873239	0.8762542	0.7049808	0.3185841	0.1982759	0.1358025	0.0431034	0.0531915	0.0381679	0.1271186	0.2123894	0.516129	0.6707819	0.7632509	0.7571885	0.6203209	0.5721649	0.5782313	0.7003257	0.6282723	0.6771654	0.6518519	0.6975309	0.7631579	0.7527473	0.8896552	0.8449198	0.8357143	0.8282209	0.73125	0.7251185	0.7596899	0.6304348	0.6277372	0.6421053	
Lesser/Greater Yellowlegs (<em class="sci">Tringa flavipes/melanoleuca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118343	0.0	0.0	0.0	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tringa sp. (<em class="sci">Tringa sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Turnstone (<em class="sci">Arenaria interpres</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0140845	0.0033445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0320856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Knot (<em class="sci">Calidris canutus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruff (<em class="sci">Calidris pugnax</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0846561	0.0959596	0.0	0.0089286	0.015748	0.0	0.0	0.0	0.0668896	0.0536398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0162866	0.0	0.0	0.0074074	0.0123457	0.0	0.0	0.0	0.0160428	0.0	0.0184049	0.0125	0.0	0.0077519	0.0	0.0	0.0	
Sharp-tailed Sandpiper (<em class="sci">Calidris acuminata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052356	0.0	0.0	0.0	0.0087719	0.0384615	0.0275862	0.0053476	0.0015	0.006135	0.0	0.0	0.0	0.0	0.0	0.0	
Curlew Sandpiper (<em class="sci">Calidris ferruginea</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0255591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Stilt Sandpiper (<em class="sci">Calidris himantopus</em>)	0.0	0.0	0.0	0.0	0.0	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0074627	0.0211268	0.0133779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063898	0.0	0.0	0.0	0.029316	0.0209424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-necked Stint (<em class="sci">Calidris ruficollis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0358306	0.0052356	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Buff-breasted Sandpiper (<em class="sci">Calidris subruficollis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.1256545	0.0	0.0	0.0246914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sanderling (<em class="sci">Calidris alba</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0127796	0.0	0.0051546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dunlin (<em class="sci">Calidris alpina</em>)	0.2010582	0.2482759	0.326087	0.3080169	0.3359375	0.3445946	0.4126984	0.5555556	0.4615385	0.4017857	0.488189	0.556213	0.6268657	0.6338028	0.6187291	0.4482759	0.2212389	0.0258621	0.0123457	0.0	0.0	0.0	0.0	0.0	0.0193548	0.0164609	0.0176678	0.0	0.0	0.0	0.0204082	0.0032573	0.0471204	0.0015	0.037037	0.1419753	0.0789474	0.1483516	0.3862069	0.3957219	0.4357143	0.3865031	0.25625	0.3222749	0.3333333	0.1594203	0.2554745	0.1842105	
Baird's Sandpiper (<em class="sci">Calidris bairdii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041152	0.0035336	0.0	0.0053476	0.0154639	0.1088435	0.1465798	0.0732984	0.0	0.0074074	0.0925926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Little Stint (<em class="sci">Calidris minuta</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0879479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Sandpiper (<em class="sci">Calidris minutilla</em>)	0.3597884	0.3310345	0.3695652	0.3206751	0.265625	0.2635135	0.4074074	0.5050505	0.3769231	0.3303571	0.3543307	0.5029586	0.5597015	0.584507	0.7725753	0.7011494	0.2743363	0.0689655	0.0	0.0086207	0.0	0.0	0.0	0.0442478	0.3806452	0.691358	0.7879859	0.7444089	0.6149733	0.5876289	0.6802721	0.7296417	0.6596859	0.519685	0.362963	0.6111111	0.5087719	0.5274725	0.7034483	0.6470588	0.6142857	0.5644172	0.41875	0.3744076	0.4883721	0.2898551	0.4306569	0.3368421	
Pectoral Sandpiper (<em class="sci">Calidris melanotos</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0309278	0.0408163	0.1042345	0.1413613	0.0944882	0.0296296	0.1666667	0.1052632	0.1153846	0.0758621	0.0427807	0.0142857	0.006135	0.00625	0.0	0.0	0.0	0.0	0.0	
Western Sandpiper (<em class="sci">Calidris mauri</em>)	0.047619	0.0827586	0.0434783	0.0421941	0.0625	0.0202703	0.0634921	0.0555556	0.0846154	0.0625	0.1811024	0.1360947	0.2164179	0.3309859	0.6254181	0.5862069	0.2477876	0.0344828	0.0123457	0.0086207	0.0	0.0	0.0	0.0707965	0.4903226	0.6954733	0.770318	0.5623003	0.5454545	0.4742268	0.5442177	0.6416938	0.565445	0.2519685	0.1555556	0.2654321	0.1842105	0.1153846	0.1931034	0.1657754	0.1142857	0.0920245	0.05625	0.056872	0.0542636	0.0289855	0.0510949	0.0473684	
Semipalmated Sandpiper (<em class="sci">Calidris pusilla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064516	0.0164609	0.0388693	0.0766773	0.1122995	0.0515464	0.0544218	0.0553746	0.0209424	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western/Semipalmated Sandpiper (<em class="sci">Calidris mauri/pusilla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
peep sp. (<em class="sci">Calidris sp. (peep sp.)</em>)	0.010582	0.0137931	0.0144928	0.021097	0.0234375	0.0337838	0.042328	0.0656566	0.0384615	0.0089286	0.0314961	0.0532544	0.0298507	0.0422535	0.0936455	0.1034483	0.0353982	0.0	0.0123457	0.0	0.0	0.0	0.0	0.0088496	0.0774194	0.0987654	0.1166078	0.0894569	0.0695187	0.1134021	0.0952381	0.0879479	0.0994764	0.0629921	0.0888889	0.0432099	0.0614035	0.0549451	0.0827586	0.0641711	0.0357143	0.0245399	0.01875	0.042654	0.0232558	0.0144928	0.0364964	0.0263158	
Calidris sp. (<em class="sci">Calidris sp.</em>)	0.0	0.0	0.0	0.0042194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0074627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
large shorebird sp. (<em class="sci">Charadriiformes sp. (large shorebird sp.)</em>)	0.005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
shorebird sp. (<em class="sci">Charadriiformes sp. (shorebird sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035336	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-tailed Jaeger (<em class="sci">Stercorarius longicaudus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
jaeger sp. (<em class="sci">Stercorarius sp. (jaeger sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bonaparte's Gull (<em class="sci">Chroicocephalus philadelphia</em>)	0.0	0.0015	0.0144928	0.0042194	0.0078125	0.0067568	0.010582	0.0050505	0.0	0.0	0.0	0.0059172	0.0	0.028169	0.0033445	0.0498084	0.0088496	0.0172414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213904	0.0071429	0.0122699	0.01875	0.0189573	0.0077519	0.0	0.0145985	0.0105263	
Franklin's Gull (<em class="sci">Leucophaeus pipixcan</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088496	0.0129032	0.0	0.0176678	0.0	0.0	0.0	0.0204082	0.0065147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Short-billed Gull (<em class="sci">Larus brachyrhynchus</em>)	0.0	0.0015	0.0	0.0042194	0.0234375	0.0067568	0.015873	0.0151515	0.0230769	0.0178571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106952	0.0071429	0.006135	0.0125	0.0	0.0	0.0	0.0	0.0	
Ring-billed Gull (<em class="sci">Larus delawarensis</em>)	0.3174603	0.2551724	0.326087	0.2489451	0.328125	0.2567568	0.3386243	0.5050505	0.3615385	0.25	0.2440945	0.1242604	0.2537313	0.2042254	0.4147157	0.3141762	0.1504425	0.112069	0.037037	0.0172414	0.0106383	0.129771	0.2033898	0.3274336	0.4322581	0.5061728	0.6042403	0.5750799	0.4919786	0.4020619	0.4421769	0.3355049	0.3298429	0.2598425	0.2888889	0.2098765	0.2017544	0.1593407	0.1241379	0.2032086	0.2071429	0.1595092	0.18125	0.2511848	0.2015504	0.2028986	0.2481752	0.3105263	
Western Gull (<em class="sci">Larus occidentalis</em>)	0.0	0.0	0.0	0.0	0.0078125	0.0	0.0	0.0050505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0129032	0.0	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Herring Gull (<em class="sci">Larus smithsonianus</em>)	0.4708995	0.5241379	0.5	0.4472574	0.546875	0.4864865	0.4708995	0.479798	0.3769231	0.25	0.2362205	0.0769231	0.0373134	0.0211268	0.0367893	0.0076628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082305	0.0035336	0.0031949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0432099	0.122807	0.1318681	0.2068966	0.3315508	0.4571429	0.4662577	0.3125	0.464455	0.4573643	0.4347826	0.5036496	0.4315789	
Glaucous Gull (<em class="sci">Larus hyperboreus</em>)	0.005291	0.0	0.0	0.021097	0.0	0.0	0.0	0.010101	0.0230769	0.0178571	0.007874	0.0059172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0052632	
American Herring x Glaucous Gull (hybrid) (<em class="sci">Larus smithsonianus x hyperboreus</em>)	0.0	0.0	0.0	0.0	0.0	0.0067568	0.0	0.020202	0.0076923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Black-backed Gull (<em class="sci">Larus fuscus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050505	0.0	0.0089286	0.015748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
California Gull (<em class="sci">Larus californicus</em>)	0.3703704	0.3172414	0.3913043	0.2869198	0.3984375	0.3310811	0.3333333	0.4393939	0.3538462	0.3392857	0.2834646	0.1301775	0.141791	0.1197183	0.1036789	0.0842912	0.0353982	0.0344828	0.0246914	0.0086207	0.0425532	0.1526718	0.2033898	0.2920354	0.3677419	0.4938272	0.6784452	0.7252396	0.631016	0.5206186	0.5306122	0.4136808	0.3979058	0.1889764	0.2074074	0.1851852	0.3070175	0.1813187	0.2551724	0.3048128	0.3928571	0.3312883	0.3125	0.3270142	0.2868217	0.3478261	0.4087591	0.3473684	
Glaucous-winged Gull (<em class="sci">Larus glaucescens</em>)	0.010582	0.0344828	0.057971	0.0337553	0.0703125	0.027027	0.0582011	0.0959596	0.0538462	0.0089286	0.0708661	0.0059172	0.0	0.0211268	0.0033445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0129032	0.0041152	0.0035336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206897	0.0160428	0.05	0.0122699	0.00625	0.0236967	0.0232558	0.0144928	0.0291971	0.0263158	
Western x Glaucous-winged Gull (hybrid) (<em class="sci">Larus occidentalis x glaucescens</em>)	0.005291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0071429	0.0	0.00625	0.0	0.0	0.0015	0.0	0.0	
American Herring x Glaucous-winged Gull (hybrid) (<em class="sci">Larus smithsonianus x glaucescens</em>)	0.005291	0.0	0.0	0.0	0.0	0.0135135	0.010582	0.010101	0.0153846	0.0	0.015748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142857	0.0	0.0	0.0	0.0	0.0015	0.0072993	0.0052632	
Iceland Gull (<em class="sci">Larus glaucoides</em>)	0.010582	0.0275862	0.0217391	0.0379747	0.0078125	0.0337838	0.031746	0.0454545	0.0615385	0.0446429	0.0629921	0.0059172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0206897	0.0374332	0.0142857	0.006135	0.01875	0.0094787	0.0077519	0.0072464	0.0072993	0.0105263	
Larus sp. (<em class="sci">Larus sp.</em>)	0.047619	0.0137931	0.0289855	0.0168776	0.0390625	0.0135135	0.010582	0.0454545	0.0153846	0.0178571	0.023622	0.0	0.0	0.0140845	0.0200669	0.0076628	0.0176991	0.0	0.0	0.0	0.0	0.0381679	0.0169492	0.0442478	0.0580645	0.0246914	0.0318021	0.0319489	0.0160428	0.0360825	0.0136054	0.0488599	0.0209424	0.007874	0.0	0.0061728	0.0087719	0.010989	0.0068966	0.0106952	0.0142857	0.0122699	0.01875	0.0047393	0.0155039	0.0434783	0.0510949	0.0315789	
gull sp. (<em class="sci">Larinae sp.</em>)	0.1904762	0.2275862	0.1449275	0.257384	0.2265625	0.2094595	0.2063492	0.2070707	0.1769231	0.1696429	0.1181102	0.0591716	0.0373134	0.0422535	0.0602007	0.0766284	0.0353982	0.0172414	0.037037	0.0086207	0.0212766	0.0229008	0.0677966	0.079646	0.083871	0.0740741	0.0918728	0.0734824	0.1176471	0.0927835	0.0816327	0.0651466	0.0837696	0.0708661	0.0814815	0.0740741	0.0263158	0.043956	0.0689655	0.1069519	0.0928571	0.1472393	0.1375	0.2132701	0.1162791	0.1884058	0.189781	0.1578947	
Black Skimmer (<em class="sci">Rynchops niger</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0774194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Tern (<em class="sci">Sternula antillarum</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Caspian Tern (<em class="sci">Hydroprogne caspia</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118343	0.0373134	0.084507	0.1103679	0.1570881	0.0884956	0.0862069	0.037037	0.0603448	0.0851064	0.1068702	0.2627119	0.2477876	0.4451613	0.6502058	0.7632509	0.7571885	0.7219251	0.5463918	0.5986395	0.5504886	0.4397906	0.2362205	0.1777778	0.117284	0.0175439	0.0	0.0068966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Tern (<em class="sci">Chlidonias niger</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006689	0.0038314	0.0015	0.0431034	0.0	0.0	0.0106383	0.0	0.0	0.0	0.0064516	0.0205761	0.0282686	0.0223642	0.0160428	0.0	0.0068027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Forster's Tern (<em class="sci">Sterna forsteri</em>)	0.0015	0.0	0.0144928	0.0	0.0078125	0.0337838	0.026455	0.030303	0.0076923	0.0178571	0.015748	0.0236686	0.0074627	0.0140845	0.0234114	0.0613027	0.0265487	0.0258621	0.0	0.0258621	0.0212766	0.0152672	0.0508475	0.0442478	0.1096774	0.0658436	0.1448763	0.0830671	0.0588235	0.0412371	0.0680272	0.0228013	0.0418848	0.0314961	0.0	0.0	0.0087719	0.0	0.0068966	0.0	0.0	0.0	0.00625	0.0047393	0.0	0.0	0.0	0.0052632	
